"CountSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","CountVictoryPoint","WonGame"
3,0,8,4,2,3,4,8,0,0,0,0,0,0,0,1,0,0,4,0,1,0,1,0,1
2,0,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2,0,4,0,7,5,0,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,1
0,2,9,16,0,0,6,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1
3,0,5,1,11,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,6,2,0,3,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
1,1,3,3,0,0,8,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,1
2,0,5,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2,0,3,1,0,6,4,4,0,0,0,0,0,2,2,0,1,0,5,0,0,0,1,0,1
3,0,6,10,0,4,5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2,0,11,3,7,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1
2,0,6,0,4,3,0,8,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1
3,0,10,10,4,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,2,3,0,0,0,14,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
2,0,4,3,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1
2,0,8,1,5,5,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
2,0,5,4,0,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2,0,10,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,8,0,5,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1,1,3,0,0,0,11,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1
3,3,9,12,8,15,18,30,0,0,0,0,0,1,1,0,0,2,2,1,1,0,0,0,1
2,0,3,1,0,7,3,3,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1
3,0,4,4,8,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
2,0,5,5,2,2,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,1
2,1,14,7,12,4,3,8,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1
1,1,5,8,0,5,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,5,0,0,5,3,4,0,0,0,0,0,2,2,2,0,0,4,1,0,1,1,0,1
2,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,1,2,0,0,10,9,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,1
4,0,9,10,10,2,0,7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
2,0,8,1,4,3,0,7,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1
2,0,10,4,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1
2,0,6,11,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,3,0,0,7,6,8,1,0,0,0,0,2,2,0,1,0,2,1,0,0,2,0,1
2,0,7,0,0,10,3,2,0,0,0,0,0,0,0,1,2,0,2,0,0,2,1,0,1
4,0,6,2,10,6,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
0,2,10,0,4,10,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
2,0,5,2,0,5,0,0,1,1,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1
2,0,3,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,1
0,2,5,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,2,8,2,2,10,18,4,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2,0,3,10,0,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1
3,0,9,0,6,12,3,3,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1
2,0,6,5,0,1,0,7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,0,4,5,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,1,13,9,4,4,6,10,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1
2,0,2,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,3,0,0,2,3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,1
2,0,2,0,2,5,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1
4,1,12,11,10,3,9,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2,0,4,0,0,5,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
2,0,3,5,0,5,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1
1,1,6,2,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,6,3,0,0,3,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2,1,9,2,10,4,3,8,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,0,1
1,1,4,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2,0,9,1,4,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
2,0,3,5,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,2,4,8,0,10,12,12,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1
2,0,3,2,0,5,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
3,0,8,4,3,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,10,1,2,5,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
0,2,2,2,0,0,14,10,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,1
2,0,11,3,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1
2,0,7,0,0,8,0,0,1,0,0,0,0,1,1,0,2,3,0,0,0,1,0,0,1
3,0,9,1,3,4,0,7,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1
1,1,14,8,2,8,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
1,1,3,1,0,15,4,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,7,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
1,2,10,5,7,10,10,15,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1
2,0,5,0,3,0,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2,0,4,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,5,7,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
2,0,2,1,0,4,0,2,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,1
1,1,4,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
2,1,8,4,5,15,0,15,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
1,1,3,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,4,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0,4,0,6,5,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1
2,0,5,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,1
1,1,8,2,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4,0,7,7,2,8,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,1,5,6,0,0,0,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
2,0,6,0,3,5,2,3,0,0,0,1,0,2,2,0,0,1,2,1,0,1,1,0,1
1,1,12,8,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,9,1,2,9,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
3,0,6,3,3,9,0,3,1,0,0,0,1,1,1,2,1,0,1,0,0,0,0,0,1
0,2,2,6,0,0,10,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
1,1,6,2,0,0,4,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,2,3,0,0,0,20,4,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,1
4,0,6,1,7,15,4,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1
2,0,6,7,0,4,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1
3,0,9,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,0,0,4,2,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1
1,1,8,0,3,4,10,4,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,1
0,2,2,2,0,0,4,10,0,0,1,0,0,0,0,2,0,0,1,1,1,0,1,0,1
2,0,14,1,3,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
0,2,2,2,0,0,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,4,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,2,0,0,0,0,6,0,1,0,0,0,1,1,1,0,3,0,0,0,0,1,0,1
3,0,4,0,5,6,5,5,0,0,0,0,0,3,3,0,0,0,2,1,0,0,1,0,1
2,0,4,3,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
2,0,4,8,0,4,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
0,3,7,16,10,8,20,22,0,0,0,0,0,0,0,3,0,0,4,0,2,1,1,0,1
3,0,6,4,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2,0,2,3,0,0,0,5,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,1
2,0,5,7,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,1,8,4,2,4,11,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1
2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,7,3,1,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0,9,3,5,2,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
0,2,3,0,10,0,16,16,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1
3,0,9,7,6,0,0,8,0,0,0,0,0,1,1,2,0,1,2,0,0,0,0,0,1
1,1,6,0,5,2,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1
2,0,5,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,5,8,2,0,6,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,0,5,0,5,6,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,0,10,4,2,0,0,5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
1,1,3,0,0,0,2,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,1
1,1,6,0,5,8,5,3,1,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,1
0,2,8,0,10,4,20,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1
2,0,5,6,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1
2,0,5,3,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,6,4,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,5,7,0,4,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,1,0,0,1
1,2,12,10,2,8,15,16,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,1
1,1,5,0,5,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,9,3,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
2,0,4,6,1,2,0,3,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1
3,1,9,18,11,0,2,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
2,0,3,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,2,6,0,0,2,0,0,0,0,0,1,5,5,0,1,0,2,1,1,0,0,0,1
2,0,3,3,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,7,4,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,0,3,3,0,2,3,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,0,2,0,0,0,0,10,0,0,0,0,0,2,2,0,1,4,1,0,0,0,0,0,1
0,4,12,16,14,0,12,14,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,1
3,0,5,4,2,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
2,0,3,0,5,6,2,0,0,0,0,0,0,2,2,2,0,1,2,0,0,0,0,0,1
2,0,6,0,0,5,5,8,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1
2,0,6,4,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
2,0,12,5,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,5,0,3,2,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,2,2,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,5,0,0,0,8,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
1,1,10,8,2,0,0,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,0,5,2,0,2,8,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1
2,0,6,2,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1,2,5,4,5,0,10,26,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1
2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2,0,6,4,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1
2,0,11,0,9,5,0,6,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1
2,0,5,4,0,7,4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1
2,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,1
3,0,6,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
